companyName,industry,revenue,numDepartments,fiscalQuarter,yoyGrowth,operatingMargin,headcount,prevUtilization,totalBudget,remainingBudget,approvedDepartments
Company 1,healthcare,26380.41,3,3,5.63,10.97,230,97.25,38140.8,19241.65,3
Company 2,retail,123803.42,6,4,-5.38,10.39,487,55.19,77987.81,29846.5,4
Company 3,services,22875.98,5,4,13.6,27.46,383,86.69,68398.99,16235.7,5
Company 4,healthcare,47615.19,7,1,21.4,26.77,387,83.69,45547.82,38715.65,7
Company 5,technology,37464.86,3,4,24.49,25.98,216,97.71,39930.0,8969.18,2
Company 6,services,68285.76,6,2,7.44,5.78,468,59.5,97319.64,76446.42,3
Company 7,healthcare,35868.26,3,2,11.89,12.8,460,93.99,75937.06,46338.69,3
Company 8,healthcare,48208.23,5,3,3.16,30.2,405,74.76,50801.7,28281.42,4
Company 9,technology,49567.76,5,4,11.34,23.03,409,73.58,81812.14,25032.65,4
Company 10,manufacturing,33272.61,5,1,8.77,23.07,329,69.9,65275.53,55484.2,5
Company 11,retail,88262.9,6,3,5.7,13.88,56,71.21,31297.86,16461.72,4
Company 12,services,72454.26,7,4,6.65,12.81,149,78.6,27598.04,11897.23,4
Company 13,manufacturing,55776.55,4,3,10.42,33.4,386,55.87,86325.33,41269.58,4
Company 14,services,42430.95,7,2,1.47,26.83,170,73.38,38234.05,28960.12,6
Company 15,retail,113236.66,3,1,2.09,8.81,94,85.86,25269.92,21479.43,1
Company 16,technology,49579.49,4,3,25.49,33.13,474,77.4,95314.0,57154.76,3
Company 17,manufacturing,46847.0,4,3,37.53,22.47,249,59.12,33381.56,19677.43,4
Company 18,technology,65104.7,7,3,-9.45,15.0,431,69.97,130058.33,80347.18,4
Company 19,services,232645.09,3,4,-10.11,16.91,149,74.36,94855.67,34275.76,2
Company 20,manufacturing,20490.47,4,3,-6.49,26.76,186,86.79,29845.13,18292.23,2
Company 21,healthcare,110844.71,5,3,3.76,16.29,178,99.54,44599.33,21772.09,2
Company 22,retail,13166.92,7,1,15.75,22.36,192,80.27,30642.23,26045.89,7
Company 23,services,71240.63,5,3,12.1,26.31,224,87.2,35654.45,24553.67,5
Company 24,services,211095.57,7,1,7.06,10.86,155,54.25,128448.26,109181.02,6
Company 25,healthcare,88515.66,6,3,11.35,33.33,408,102.5,105987.15,63499.09,5
Company 26,technology,68631.03,6,1,-3.31,15.69,169,67.34,44162.44,37538.07,6
Company 27,manufacturing,38240.12,6,4,2.07,17.58,226,69.49,56210.54,25682.31,1
Company 28,technology,61379.9,3,2,4.76,25.96,431,62.26,68404.08,57328.35,3
Company 29,technology,48939.97,5,2,-14.01,23.26,224,54.66,42734.76,33676.07,3
Company 30,healthcare,31927.36,5,1,-8.94,18.2,15,93.45,8929.73,7590.27,1
Company 31,healthcare,47481.69,4,1,-8.46,24.49,10,63.23,24885.28,21152.49,2
Company 32,services,70172.02,3,4,14.17,32.08,223,65.55,43503.37,13440.91,2
Company 33,retail,32410.13,3,2,7.94,29.01,327,60.0,64259.94,43256.18,3
Company 34,retail,31412.92,6,3,12.33,29.73,471,103.62,69715.44,47334.16,5
Company 35,manufacturing,20167.05,6,4,-17.08,12.75,74,92.96,14016.33,5270.32,5
Company 36,technology,81844.8,4,3,-12.8,17.58,275,101.14,97551.29,47479.29,1
Company 37,technology,92619.84,6,1,12.96,21.61,151,97.39,32818.11,27895.39,6
Company 38,manufacturing,72065.33,6,2,-28.34,6.33,230,99.85,37684.44,32031.77,3
Company 39,technology,129590.71,7,2,19.7,28.09,226,76.35,84802.59,72082.21,7
Company 40,healthcare,64234.4,7,2,-16.88,14.7,163,59.38,55085.48,38878.72,2
Company 41,retail,81929.04,7,1,15.12,13.48,18,67.98,36722.46,27515.88,4
Company 42,services,76348.98,3,3,-5.66,12.78,46,66.08,18758.93,11098.36,1
Company 43,healthcare,55646.14,6,2,17.59,13.5,265,89.44,29327.09,20794.39,6
Company 44,retail,39157.32,4,2,43.5,15.14,119,51.41,31159.46,25855.69,2
Company 45,services,351977.35,5,2,-22.28,23.14,170,57.81,116958.38,99414.62,5
Company 46,services,41707.62,6,2,13.34,22.51,54,87.56,9298.15,7903.43,5
Company 47,retail,35147.12,6,1,-16.7,12.67,34,56.79,25014.87,21262.64,2
Company 48,retail,84728.55,5,2,10.12,11.19,72,52.66,30611.68,26019.93,3
Company 49,healthcare,73239.01,7,4,2.52,29.79,194,56.01,49354.85,23688.55,6
Company 50,technology,19460.98,3,3,6.56,7.78,90,87.99,23902.56,16022.48,2
Company 51,technology,146993.35,3,3,-5.94,20.38,123,57.66,98878.46,66970.12,1
Company 52,technology,55528.09,3,4,14.37,20.62,157,58.05,67009.2,22564.04,3
Company 53,healthcare,24618.54,7,3,-12.38,22.22,152,62.67,35561.91,16246.6,3
Company 54,healthcare,154976.27,5,1,19.9,31.57,15,91.3,77315.14,65717.87,4
Company 55,healthcare,98769.14,5,2,0.09,23.72,67,61.02,70117.62,55044.87,4
Company 56,healthcare,21771.7,6,2,-11.83,34.21,475,51.95,93002.35,79052.0,4
Company 57,manufacturing,248139.48,5,2,24.14,31.14,337,99.82,116540.11,85770.96,4
Company 58,manufacturing,101421.25,5,1,4.19,11.44,70,98.2,42576.35,36189.9,4
Company 59,technology,59387.74,3,1,27.89,12.24,149,60.17,63899.92,51401.29,3
Company 60,technology,213667.22,3,2,19.66,15.34,197,64.59,60158.18,44948.06,1
Company 61,healthcare,68011.92,7,4,-4.58,16.75,453,60.37,42672.35,14172.64,1
Company 62,manufacturing,58543.98,5,3,3.98,21.59,440,89.57,52690.38,31456.62,5
Company 63,manufacturing,35304.3,3,4,6.45,11.98,387,63.75,80824.14,34411.85,1
Company 64,healthcare,95366.28,4,1,23.32,11.67,62,101.23,29477.44,25055.82,1
Company 65,manufacturing,87665.38,4,2,10.25,16.44,250,95.52,55929.84,46578.23,1
Company 66,manufacturing,60581.46,4,3,7.12,25.16,246,82.36,45748.8,30108.81,4
Company 67,manufacturing,31825.11,4,2,2.6,25.64,322,50.49,32887.67,27954.52,4
Company 68,retail,66432.65,6,2,4.39,34.28,423,98.6,79544.95,66541.76,5
Company 69,technology,56622.46,3,2,20.66,11.07,167,90.03,37572.26,27925.19,2
Company 70,retail,20603.59,4,1,5.04,16.79,282,93.33,47034.59,39979.41,4
Company 71,technology,18445.03,5,4,0.26,33.94,139,53.95,29609.9,14400.36,5
Company 72,retail,94100.88,5,4,-1.77,25.7,113,88.97,35960.73,14347.88,3
Company 73,services,10000.0,7,1,-1.65,22.77,163,94.25,22009.3,18707.9,2
Company 74,technology,70567.74,7,2,-11.83,21.19,370,102.61,98623.33,64146.05,1
Company 75,technology,40844.75,4,3,-4.0,7.27,224,81.93,24116.72,11708.79,2
Company 76,retail,170518.19,5,4,22.98,31.8,343,77.94,94312.74,36829.66,3
Company 77,retail,40345.11,3,4,2.52,23.77,348,73.4,45045.42,16590.53,1
Company 78,healthcare,101476.99,6,2,13.45,22.15,187,88.57,45044.72,28121.13,6
Company 79,manufacturing,43585.03,3,3,-24.75,21.19,477,100.65,75229.11,45935.57,1
Company 80,healthcare,65578.19,3,4,11.82,16.76,32,82.99,44625.62,9573.32,3
Company 81,healthcare,107954.94,6,4,3.06,12.64,449,62.5,95951.84,43017.2,1
Company 82,retail,41355.28,3,2,-0.78,27.66,13,50.97,23354.03,18605.79,1
Company 83,services,132885.6,5,4,7.17,20.29,197,84.05,58519.02,17726.95,5
Company 84,technology,27039.17,3,2,-0.95,6.02,414,97.55,66158.63,56234.84,2
Company 85,technology,75786.41,6,1,-20.49,16.97,345,53.63,109058.14,92699.42,4
Company 86,technology,125255.61,6,4,16.07,32.86,167,71.87,64166.82,28618.03,6
Company 87,healthcare,101521.92,5,4,7.92,16.22,443,101.7,50812.22,17603.29,5
Company 88,manufacturing,277383.39,7,2,1.23,17.4,77,77.59,66740.74,52798.97,6
Company 89,technology,32508.23,5,2,-6.59,23.72,338,62.14,35909.17,27189.7,5
Company 90,manufacturing,19864.32,3,2,-12.64,29.05,264,69.45,29891.24,23944.0,2
