companyName,industry,revenue,totalExpenses,accountsReceivable,accountsPayable,currentAssets,currentLiabilities,previousCashBalance,availableCash,monthlyExpenses,cashFlowStatus
Core Corp 1,healthcare,31656.49,15504.55,11285.19,2756.97,48512.15,7183.09,32379.63,57667.09,15389.76,stable
Peak Inc 2,retail,123803.42,85326.63,12927.02,25926.23,133771.6,39505.65,67557.87,78882.65,81588.26,stable
Prime Corp 3,services,20588.38,12943.08,4921.18,3962.76,33694.44,8808.81,14443.07,21585.74,13282.21,stable
Vertex LLC 4,healthcare,57138.23,34264.9,15860.55,11041.56,46948.58,23205.64,63918.0,92588.56,35245.11,stable
Core Group 5,technology,48704.32,25993.01,17634.95,10805.16,58553.44,18111.86,16842.24,46378.72,24794.66,stable
Core Group 6,services,61457.18,40239.83,11033.87,13567.83,63355.31,26703.99,40781.98,58725.08,37075.96,stable
Beta Solutions 7,healthcare,43041.91,32592.21,12045.94,14408.69,48206.62,20144.24,43140.33,50517.89,30372.38,tight
Core Inc 8,healthcare,57849.88,39995.05,24860.8,16454.2,81998.31,30904.51,56081.6,82636.85,36798.18,stable
Beta Tech 9,technology,64438.09,36316.7,19114.46,7787.1,102276.77,19728.59,68720.68,104951.34,38672.31,stable
Omega Tech 10,manufacturing,36599.87,24918.74,12640.93,5540.81,42575.33,10025.98,35335.39,55052.75,25403.82,stable
Zen Tech 11,retail,88262.9,60519.04,18629.46,15337.48,128471.15,39252.93,101712.66,135801.84,57018.0,stable
Peak Inc 12,services,65208.83,30675.42,10439.46,8204.27,52594.72,12978.37,48804.48,80147.77,28675.44,critical
Alpha Inc 13,manufacturing,61354.21,37821.6,15077.83,11947.79,80157.76,23563.85,52878.79,79190.8,39743.51,stable
Apex Holdings 14,services,38187.86,19115.15,7868.68,4200.63,41286.41,7888.68,40591.21,63597.76,20066.44,stable
Nexus Corp 15,retail,113236.66,75554.03,25627.17,16372.83,143303.93,41291.63,105482.42,149691.58,80720.47,stable
Core Corp 16,technology,64453.34,30609.12,20745.98,8093.57,59917.48,13223.71,25256.11,65560.56,28940.43,tight
Apex Corp 17,manufacturing,51531.7,36976.68,13337.16,13001.26,88236.56,19297.47,32480.26,42704.52,37108.47,stable
Nova Holdings 18,technology,84636.11,52370.09,24544.98,18666.67,143561.47,32627.12,67483.06,105462.1,49198.35,stable
Zen Solutions 19,services,209380.58,143648.36,41346.83,63612.52,319068.46,120856.73,205035.05,254036.18,150443.26,stable
Prime Inc 20,manufacturing,22539.51,14572.54,7105.12,3070.79,38497.77,6264.06,17788.43,29505.49,14368.49,stable
Nexus Tech 21,healthcare,133013.66,89609.71,46579.42,24002.65,132597.74,51166.23,132986.3,192084.34,92417.37,stable
Vertex Solutions 22,retail,13166.92,10204.59,1714.99,4483.93,14930.92,7337.64,13875.94,13272.02,9437.72,tight
Zen Corp 23,services,64116.56,33962.09,11013.6,12124.56,63455.12,24368.91,34534.17,60554.43,35472.35,stable
Core LLC 24,services,189986.02,115805.35,32736.82,37947.51,296320.75,63673.36,162340.84,231346.61,110793.04,stable
Delta Corp 25,healthcare,106218.8,75629.73,29730.13,23588.45,102961.37,45425.48,85123.67,115724.3,79777.92,tight
Gamma Tech 26,technology,89220.34,55869.14,23418.67,9645.98,87652.44,31303.98,45019.29,90103.63,53061.01,stable
Nexus Solutions 27,manufacturing,42064.13,28584.63,13667.52,11948.72,63585.63,18613.13,31164.9,41948.8,29911.4,critical
Beta Holdings 28,technology,79793.87,45594.03,23113.89,15394.89,70104.48,27242.57,63333.31,100881.85,42924.81,stable
Beta Holdings 29,technology,63621.96,31211.64,21327.39,10034.55,99733.01,21651.63,65887.28,102361.31,32027.73,stable
Alpha Inc 30,healthcare,38312.84,22433.18,8661.08,6995.79,38090.22,12225.52,27389.48,42409.1,23435.53,critical
Beta Tech 31,healthcare,56978.03,34200.46,21561.37,9151.16,87709.19,17536.04,21242.8,57439.03,33577.92,critical
Prime Tech 32,services,63154.82,29056.41,12121.45,6578.35,98835.4,13145.97,46644.02,83562.94,27867.81,stable
Alpha Solutions 33,retail,32410.13,25448.24,4081.34,9583.72,40043.99,18551.24,34165.33,34094.97,24815.2,tight
Apex Group 34,retail,31412.92,26566.86,4996.16,8046.31,27383.64,18210.7,25574.2,27354.87,25702.23,tight
Nexus Corp 35,manufacturing,22183.75,13917.09,4995.97,2229.27,17178.53,6512.59,13021.39,24245.82,14213.39,stable
Vertex Corp 36,technology,106398.24,66251.56,20620.64,17869.92,78566.61,38136.77,120110.19,152672.52,61423.8,stable
