companyName,industry,revenue,debtToEquity,yearsInBusiness,paymentHistory,outstandingDebt,creditUtilization,latePayments,collateralValue,annualGrowth,creditScore,riskLevel,loanEligibility
Company 1,healthcare,26380.41,0.666,25,52.2,15529.48,36.89,3,20213.02,29.47,599,low,review
Company 2,retail,123803.42,2.174,13,62.12,155917.62,25.06,3,277973.92,0.7,565,moderate,review
Company 3,services,22875.98,2.362,48,89.59,14536.03,12.62,0,39609.42,17.46,690,moderate,denied
Company 4,healthcare,47615.19,0.821,1,51.32,63527.13,76.1,1,124072.57,15.65,541,high,denied
Company 5,technology,37464.86,0.647,47,61.54,10412.28,26.64,1,63829.79,13.13,663,moderate,review
Company 6,services,68285.76,1.65,27,76.59,102084.29,30.44,2,178613.49,4.64,625,moderate,approved
Company 7,healthcare,35868.26,2.664,2,39.13,32197.42,21.36,2,63472.02,-0.99,462,high,denied
Company 8,healthcare,48208.23,0.547,6,59.56,58615.6,92.74,0,118435.4,-10.98,537,high,denied
Company 9,technology,49567.76,0.59,6,51.66,7392.46,75.29,2,114098.19,-11.97,482,high,denied
Company 10,manufacturing,33272.61,1.741,15,77.37,47291.65,88.69,3,38769.46,10.21,535,high,denied
Company 11,retail,88262.9,0.683,17,39.52,92003.79,82.56,4,112402.43,4.18,511,high,denied
Company 12,services,72454.26,0.709,32,46.29,93319.41,86.57,1,199103.49,-1.23,578,moderate,review
Company 13,manufacturing,55776.55,1.056,16,79.8,39030.71,48.11,0,60100.23,14.97,632,moderate,review
Company 14,services,42430.95,0.141,36,40.94,15998.94,20.35,2,95204.5,1.99,628,moderate,review
Company 15,retail,113236.66,0.859,15,59.54,105006.05,34.42,2,97700.63,-8.7,568,moderate,review
Company 16,technology,49579.49,0.095,13,79.9,93881.76,31.32,2,118390.67,1.0,660,moderate,review
Company 17,manufacturing,46847.0,0.083,14,83.58,24960.48,69.54,3,49574.64,17.31,611,moderate,review
Company 18,technology,65104.7,1.458,17,36.64,90111.03,7.31,0,129243.47,-10.35,516,high,denied
Company 19,services,232645.09,0.816,42,89.64,45296.63,17.78,0,444493.73,8.14,740,high,denied
Company 20,manufacturing,20490.47,0.05,13,80.68,30006.03,66.46,2,20670.49,4.17,601,moderate,review
Company 21,healthcare,110844.71,0.794,14,53.75,61300.52,16.11,3,191596.01,-6.41,560,moderate,review
Company 22,retail,13166.92,0.941,47,83.47,12612.36,9.35,1,35525.94,0.6,707,low,approved
Company 23,services,71240.63,0.208,33,80.98,56902.09,14.83,1,156823.66,-18.58,638,moderate,review
Company 24,services,211095.57,0.207,10,72.06,66367.74,67.16,0,629410.16,6.64,623,moderate,review
Company 25,healthcare,88515.66,0.087,43,69.09,66971.46,17.54,0,217871.19,-15.47,694,moderate,review
Company 26,technology,68631.03,0.554,9,81.43,52519.03,18.17,3,144718.04,21.09,644,moderate,review
Company 27,manufacturing,38240.12,0.997,8,99.95,41758.23,25.73,1,72962.34,3.62,643,low,review
Company 28,technology,61379.9,3.376,22,70.5,119535.39,72.58,3,174538.15,-3.58,516,high,denied
Company 29,technology,48939.97,0.259,34,86.61,48599.02,23.03,2,88950.04,22.41,682,moderate,review
Company 30,healthcare,31927.36,0.994,10,82.1,58663.65,8.18,2,48104.38,-10.48,601,low,review
Company 31,healthcare,47481.69,0.516,37,89.91,46387.69,86.53,3,122798.77,-6.22,603,moderate,review
Company 32,services,70172.02,0.928,8,96.82,21355.61,83.87,3,200033.13,-22.44,550,moderate,review
Company 33,retail,32410.13,1.351,39,43.52,17413.66,21.63,2,55009.46,24.64,615,moderate,review
Company 34,retail,31412.92,0.479,5,41.58,27463.8,28.88,4,26484.12,33.09,589,moderate,approved
Company 35,manufacturing,20167.05,0.089,23,71.04,14483.99,21.97,2,40756.23,-20.1,623,moderate,review
Company 36,technology,81844.8,1.508,32,61.45,142825.36,69.76,2,192515.8,-7.24,559,moderate,review
Company 37,technology,92619.84,0.735,14,69.95,128688.47,27.5,1,132825.2,6.05,633,moderate,review
Company 38,manufacturing,72065.33,2.304,30,85.86,86390.91,88.83,3,170773.01,-2.74,561,moderate,review
Company 39,technology,129590.71,0.207,34,95.22,133910.77,79.49,2,236843.66,4.53,655,moderate,review
Company 40,healthcare,64234.4,0.14,32,59.22,54908.47,57.96,0,80510.77,3.24,604,moderate,review
Company 41,retail,81929.04,0.182,20,80.26,103489.94,5.8,2,169904.69,11.11,696,moderate,review
Company 42,services,76348.98,4.071,38,43.78,25710.79,84.53,0,112413.86,-9.41,494,high,denied
Company 43,healthcare,55646.14,1.831,36,67.42,22748.87,70.5,2,137282.57,7.89,596,moderate,review
Company 44,retail,39157.32,0.304,16,31.53,26467.25,75.91,3,19880.17,-11.74,485,high,denied
Company 45,services,351977.35,0.366,36,65.26,149678.64,11.46,1,895939.08,-1.18,630,moderate,review
Company 46,services,41707.62,0.986,46,68.17,57827.1,68.77,1,52820.13,-21.05,555,moderate,review
Company 47,retail,35147.12,0.561,41,81.48,5168.73,77.41,1,101893.82,-1.07,622,moderate,review
Company 48,retail,84728.55,0.332,36,75.46,34258.91,91.1,1,203171.61,-3.59,627,moderate,review
Company 49,healthcare,73239.01,0.392,38,55.09,132925.54,57.24,2,80753.39,19.15,652,moderate,review
Company 50,technology,19460.98,2.072,40,30.4,38831.12,50.72,2,57351.47,4.11,544,high,denied
Company 51,technology,146993.35,1.115,15,38.08,150877.19,43.29,1,257084.23,6.84,539,high,denied
Company 52,technology,55528.09,2.084,36,98.11,57816.02,68.12,1,100356.45,4.66,619,moderate,review
Company 53,healthcare,24618.54,2.65,10,94.56,38637.76,87.87,2,68286.79,-26.94,535,low,review
Company 54,healthcare,154976.27,1.068,18,52.76,26153.83,58.98,3,433314.84,-24.95,481,high,denied
Company 55,healthcare,98769.14,0.988,46,48.12,90012.35,25.46,2,221460.78,0.22,658,moderate,review
Company 56,healthcare,21771.7,0.159,14,60.55,6306.67,6.58,3,64142.14,9.18,656,moderate,review
Company 57,manufacturing,248139.48,0.722,42,78.3,213836.71,60.72,1,328084.0,1.48,693,low,approved
Company 58,manufacturing,101421.25,0.361,21,54.98,199724.96,82.81,5,109620.29,-7.96,511,high,denied
Company 59,technology,59387.74,2.481,11,34.71,90976.27,10.94,5,34037.6,1.4,467,high,denied
Company 60,technology,213667.22,0.327,5,58.2,421263.55,40.78,0,291840.01,0.09,611,moderate,review
Company 61,healthcare,68011.92,0.406,27,48.24,103207.57,89.6,1,136471.58,16.69,604,moderate,review
Company 62,manufacturing,58543.98,2.548,23,52.75,73496.65,50.15,1,73967.25,15.85,550,moderate,review
Company 63,manufacturing,35304.3,3.896,26,41.41,54122.18,24.86,6,68809.86,-3.3,417,high,denied
Company 64,healthcare,95366.28,0.997,3,76.12,128961.36,36.83,2,59219.06,4.25,583,moderate,review
