companyName,industry,invoiceCategory,revenue,invoiceAmount,vendorHistoryMonths,lineItems,daysSinceReceived,previousInvoices,amountDeviation,hasPurchaseOrder,paymentStatus,duplicateCheck
Prime Corp 1,healthcare,supplies,139400.79,28977.05,5,19,24,161,-13.93,1,rejected,False
Peak LLC 2,retail,maintenance,32722.71,2721.8,15,23,75,167,-15.52,1,pending,False
Beta Holdings 3,services,services,10000.0,1463.32,9,1,33,89,16.91,1,pending,False
Delta Group 4,healthcare,equipment,14565.78,2132.66,46,15,83,34,0.4,1,approved,False
Vertex Inc 5,technology,maintenance,186708.08,29613.27,38,1,46,131,-8.33,1,approved,False
Nexus Group 6,services,maintenance,43433.92,1422.97,102,14,57,2,-7.77,1,approved,False
Vertex Solutions 7,healthcare,supplies,32840.58,1930.45,106,10,18,178,-8.45,0,rejected,False
Flux Inc 8,healthcare,consulting,222821.94,12717.39,17,8,89,77,-7.11,1,approved,False
Flux LLC 9,technology,services,164740.69,14739.64,113,22,17,152,-18.97,0,pending,False
Nexus Tech 10,manufacturing,services,61056.75,3256.17,70,18,2,147,-3.88,0,pending,False
Core Tech 11,retail,supplies,47347.89,10986.69,37,14,39,94,-5.39,0,approved,False
Prime Corp 12,services,maintenance,53869.46,7432.88,49,22,75,194,-11.37,0,rejected,False
Nexus Group 13,manufacturing,consulting,71806.5,11734.78,53,3,82,159,2.33,1,approved,True
Alpha Corp 14,services,equipment,215353.86,22013.96,21,16,77,176,3.6,1,approved,False
Zen Tech 15,retail,supplies,83949.77,7012.88,104,4,49,18,-8.35,1,approved,False
Peak Group 16,technology,services,107025.59,14526.66,2,6,82,96,-2.16,1,pending,False
Omega LLC 17,manufacturing,supplies,152575.69,13380.02,9,5,44,190,32.38,1,approved,False
Omega Inc 18,technology,services,23488.34,2326.25,33,14,43,162,31.81,0,pending,False
Beta Group 19,services,services,109522.96,13595.38,18,16,16,90,-15.81,1,approved,False
Delta Inc 20,manufacturing,consulting,47303.76,6448.39,8,19,70,14,-13.72,1,rejected,False
Delta Solutions 21,healthcare,services,10000.0,2463.92,46,11,28,56,-15.89,1,approved,False
Core Group 22,retail,services,10910.32,778.61,45,23,17,114,15.86,1,approved,False
Core Group 23,services,equipment,26516.06,3506.34,15,9,33,128,-5.98,0,approved,False
Apex Solutions 24,services,supplies,91580.95,4980.88,97,4,54,184,3.6,1,approved,False
Zen Inc 25,healthcare,equipment,65580.89,6590.87,106,1,24,18,29.95,1,approved,False
Flux Inc 26,technology,services,69389.68,12835.8,86,4,32,79,-0.16,1,approved,False
Beta LLC 27,manufacturing,supplies,285145.48,17144.74,63,11,29,54,10.59,0,pending,False
Nova Solutions 28,technology,equipment,21692.64,3334.39,113,10,53,192,7.81,1,approved,False
Peak Corp 29,technology,consulting,58574.42,6785.33,42,21,64,33,-8.82,1,approved,False
Apex Solutions 30,healthcare,equipment,76385.52,2433.89,51,4,60,44,15.89,1,approved,False
Zen Group 31,healthcare,equipment,33222.46,7794.23,2,7,12,59,-12.75,1,approved,False
Core Group 32,services,equipment,61246.46,7051.23,85,24,31,21,20.1,0,approved,False
Delta Group 33,retail,supplies,16647.92,3334.63,12,1,58,128,-8.81,1,approved,True
Peak Corp 34,retail,supplies,184965.57,21410.15,80,11,19,104,-7.17,0,approved,False
Peak Inc 35,manufacturing,equipment,34707.41,8176.82,94,5,6,111,-16.33,1,approved,False
Alpha Solutions 36,technology,services,304102.51,26398.58,26,13,28,181,-13.86,1,approved,False
Nova LLC 37,technology,consulting,58338.68,6698.04,73,24,61,86,-6.4,1,approved,False
Core Group 38,manufacturing,consulting,136276.73,26511.11,37,6,59,62,-36.47,1,approved,False
Core Tech 39,technology,supplies,57374.64,5682.58,48,9,11,75,-3.5,0,approved,False
Peak Corp 40,healthcare,supplies,58419.5,6064.07,64,11,60,160,-7.62,0,approved,False
Delta Group 41,retail,supplies,37525.52,9336.7,30,20,17,105,11.85,1,approved,False
Apex LLC 42,services,consulting,65860.83,9733.66,95,24,66,33,6.34,1,approved,False
Gamma Corp 43,healthcare,consulting,77218.86,13788.01,47,3,50,137,-10.61,0,pending,False
Gamma Tech 44,retail,services,31971.28,5371.06,55,12,11,149,-6.88,1,approved,False
Nova Tech 45,services,equipment,54174.44,11399.52,97,19,31,49,-3.52,0,approved,False
Omega LLC 46,services,services,36751.01,8019.8,28,1,73,111,22.29,1,rejected,False
