companyName,industry,totalTransactions,transactionVolume,dataQuality,numSources,daysSinceLastRecon,automationLevel,numAccounts,prevErrorRate,matchedTransactions,unmatchedTransactions,reconciliationStatus
Company 1,healthcare,172,139400.79,89.01,2,69,81.08,21,4.06,156,16,partial
Company 2,retail,424,32722.71,56.48,2,84,88.9,17,2.57,357,67,partial
Company 3,services,36,10000.0,72.96,2,1,64.11,46,1.53,32,4,partial
Company 4,healthcare,234,14565.78,72.98,4,53,94.57,37,5.39,213,21,partial
Company 5,technology,404,186708.08,76.16,3,4,12.83,10,2.65,352,52,partial
Company 6,services,477,43433.92,43.33,7,52,80.96,13,4.21,383,94,partial
Company 7,healthcare,140,32840.58,50.12,7,36,82.85,6,0.11,114,26,partial
Company 8,healthcare,332,222821.94,49.67,2,28,87.92,15,4.13,290,42,partial
Company 9,technology,111,164740.69,58.12,7,80,50.64,33,5.56,92,19,failed
Company 10,manufacturing,75,61056.75,48.69,5,64,76.96,46,7.68,64,11,partial
Company 11,retail,189,47347.89,95.32,3,51,26.58,25,1.63,171,18,partial
Company 12,services,444,53869.46,70.78,4,79,61.27,6,5.0,399,45,partial
Company 13,manufacturing,350,71806.5,77.41,4,9,40.48,5,0.51,322,28,partial
Company 14,services,254,215353.86,61.45,3,58,60.67,22,4.69,235,19,partial
Company 15,retail,155,83949.77,56.57,7,14,67.42,15,0.31,150,5,successful
Company 16,technology,87,107025.59,70.19,2,21,39.5,30,6.8,70,17,successful
Company 17,manufacturing,149,152575.69,57.66,2,17,28.38,8,4.88,113,36,failed
Company 18,technology,93,23488.34,60.62,3,49,37.34,13,0.42,77,16,partial
Company 19,services,109,109522.96,67.17,2,56,66.44,29,0.91,96,13,partial
Company 20,manufacturing,350,47303.76,70.34,2,68,67.53,16,0.17,304,46,partial
Company 21,healthcare,83,10000.0,99.06,4,40,73.01,20,3.71,80,3,successful
Company 22,retail,42,10910.32,53.4,4,84,20.76,13,6.94,32,10,failed
Company 23,services,280,26516.06,69.28,2,34,79.57,5,3.23,245,35,partial
Company 24,services,157,91580.95,48.97,6,14,68.49,19,1.0,132,25,partial
Company 25,healthcare,238,65580.89,61.0,7,4,12.59,18,1.88,196,42,partial
Company 26,technology,87,69389.68,83.04,6,12,38.53,45,8.89,79,8,partial
Company 27,manufacturing,120,285145.48,50.47,5,40,49.67,44,6.16,97,23,partial
Company 28,technology,231,21692.64,74.88,7,37,40.65,23,4.79,197,34,partial
Company 29,technology,351,58574.42,65.0,4,77,19.98,16,4.8,287,64,partial
Company 30,healthcare,218,76385.52,43.09,4,12,27.62,22,20.46,168,50,failed
Company 31,healthcare,280,33222.46,95.98,2,24,12.09,31,1.05,258,22,partial
Company 32,services,270,61246.46,64.82,6,88,17.91,21,5.07,206,64,failed
Company 33,retail,149,16647.92,87.04,2,3,32.64,38,0.46,130,19,partial
Company 34,retail,154,184965.57,64.98,5,38,79.7,48,1.42,138,16,failed
Company 35,manufacturing,224,34707.41,96.24,6,18,54.76,21,1.79,212,12,partial
Company 36,technology,35,304102.51,57.43,3,48,46.08,8,0.58,28,7,partial
Company 37,technology,348,58338.68,64.73,5,87,66.28,8,2.52,308,40,failed
Company 38,manufacturing,314,136276.73,85.53,3,21,56.03,43,3.49,304,10,successful
Company 39,technology,166,57374.64,60.62,4,33,21.18,22,4.02,133,33,partial
Company 40,healthcare,199,58419.5,61.86,5,40,28.92,18,5.25,173,26,partial
Company 41,retail,177,37525.52,99.69,3,72,28.91,32,2.22,144,33,partial
Company 42,services,332,65860.83,73.34,6,88,61.0,47,2.49,295,37,partial
Company 43,healthcare,384,77218.86,81.36,4,9,49.24,22,0.77,338,46,partial
Company 44,retail,72,31971.28,78.61,4,44,42.94,17,8.14,64,8,partial
Company 45,services,218,54174.44,89.68,6,67,57.31,43,1.34,189,29,partial
Company 46,services,26,36751.01,91.71,3,1,92.46,6,0.25,25,1,successful
Company 47,retail,237,376898.52,73.8,4,72,36.71,42,1.79,194,43,partial
Company 48,retail,139,55726.74,57.67,7,22,54.22,27,2.66,118,21,partial
Company 49,healthcare,181,206114.21,41.37,4,47,50.83,3,8.71,154,27,partial
Company 50,technology,239,51200.38,76.86,2,88,70.91,13,0.71,208,31,partial
Company 51,technology,175,73675.83,89.53,3,57,72.07,34,2.93,171,4,successful
Company 52,technology,209,20804.17,67.03,7,89,71.97,38,1.81,176,33,partial
Company 53,healthcare,387,41870.71,49.88,6,54,27.13,12,0.34,326,61,partial
Company 54,healthcare,408,70857.62,57.28,6,19,48.17,33,2.05,327,81,partial
Company 55,healthcare,22,212947.95,70.6,3,62,78.95,49,0.18,19,3,partial
Company 56,healthcare,201,71509.55,90.2,7,55,42.43,35,4.05,175,26,partial
Company 57,manufacturing,426,181131.09,50.31,4,28,93.66,36,0.3,394,32,partial
Company 58,manufacturing,274,99965.79,76.73,6,7,41.01,12,2.0,245,29,partial
Company 59,technology,118,220118.45,85.2,7,58,52.3,32,1.66,97,21,partial
Company 60,technology,304,57111.81,96.16,3,52,50.33,36,9.58,261,43,partial
Company 61,healthcare,89,405217.07,47.0,7,69,46.86,8,1.97,68,21,failed
Company 62,manufacturing,30,40606.48,95.58,5,12,81.88,17,0.98,30,0,successful
Company 63,manufacturing,323,32429.72,76.09,6,48,23.2,44,3.42,280,43,partial
Company 64,healthcare,267,22741.75,86.0,6,73,58.25,49,0.36,235,32,partial
Company 65,manufacturing,383,386473.95,43.23,3,80,62.58,11,1.58,301,82,failed
Company 66,manufacturing,185,115330.6,70.37,6,84,82.35,37,1.04,166,19,partial
Company 67,manufacturing,430,45830.42,77.36,3,19,61.78,26,18.67,363,67,successful
Company 68,retail,222,162627.59,58.41,3,16,91.6,30,0.64,203,19,partial
Company 69,technology,374,103792.99,65.9,2,52,84.13,27,9.16,331,43,partial
Company 70,retail,68,288630.32,73.26,3,42,39.64,43,0.48,58,10,successful
Company 71,technology,66,17356.7,73.15,7,21,83.09,23,1.48,61,5,partial
Company 72,retail,395,48422.12,42.51,3,10,91.47,30,0.6,345,50,partial
Company 73,services,420,41356.42,66.37,4,13,31.86,34,3.83,364,56,partial
Company 74,technology,472,12345.59,52.83,4,31,61.87,28,5.19,379,93,partial
Company 75,technology,175,139841.06,95.0,6,66,33.95,44,0.81,158,17,partial
Company 76,retail,30,48227.41,98.59,5,6,65.21,14,3.2,30,0,partial
Company 77,retail,490,108196.57,57.98,5,10,17.96,47,3.61,408,82,partial
Company 78,healthcare,308,395464.99,50.51,7,24,72.41,34,1.71,270,38,partial
Company 79,manufacturing,138,45134.63,53.17,4,78,45.68,48,2.91,111,27,partial
Company 80,healthcare,386,42748.0,68.67,6,89,59.92,20,1.91,336,50,partial
Company 81,healthcare,453,65836.61,92.47,7,40,12.2,25,6.81,393,60,partial
Company 82,retail,156,131899.81,70.0,6,4,69.11,5,0.99,136,20,partial
Company 83,services,389,38048.98,43.32,2,2,52.16,46,0.49,335,54,partial
Company 84,technology,398,36142.72,42.39,3,77,63.15,41,3.58,299,99,failed
Company 85,technology,260,139490.45,53.64,5,40,36.83,16,2.14,215,45,successful
Company 86,technology,323,81057.29,90.57,4,7,22.39,5,4.01,285,38,partial
Company 87,healthcare,149,11663.47,77.29,3,75,47.01,35,0.53,126,23,partial
Company 88,manufacturing,465,22464.39,73.78,4,48,90.24,34,2.17,425,40,partial
Company 89,technology,491,198985.79,59.14,2,32,29.36,27,0.1,397,94,partial
Company 90,manufacturing,490,82581.64,95.77,3,41,67.45,10,1.51,465,25,partial
Company 91,technology,373,32540.58,59.87,6,21,14.24,46,1.59,306,67,partial
Company 92,healthcare,40,52243.58,90.1,2,83,71.04,23,1.89,35,5,partial
Company 93,retail,195,60511.54,93.75,7,71,30.27,37,3.53,178,17,partial
Company 94,retail,233,107859.71,69.0,4,18,48.38,43,0.1,206,27,successful
Company 95,retail,480,20199.02,93.66,6,66,41.26,28,12.75,428,52,partial
Company 96,manufacturing,282,30553.69,56.61,3,16,19.59,7,2.44,243,39,partial
Company 97,retail,277,74485.86,79.51,6,41,39.37,44,7.95,251,26,partial
Company 98,technology,90,55278.11,45.28,5,67,39.76,34,1.18,73,17,partial
Company 99,technology,400,94607.06,68.44,7,4,54.38,45,0.64,352,48,partial
Company 100,services,181,22390.55,53.04,2,65,92.65,31,0.64,148,33,failed
Company 101,services,64,79674.35,43.77,6,21,49.95,45,4.31,53,11,partial
Company 102,healthcare,494,143381.89,40.22,3,63,87.73,43,0.54,427,67,partial
Company 103,retail,111,88384.76,59.49,4,45,49.23,13,4.42,94,17,partial
Company 104,services,27,66922.43,75.37,2,3,19.14,11,0.1,21,6,failed
Company 105,healthcare,57,55453.11,67.31,7,68,29.56,10,3.49,48,9,partial
Company 106,healthcare,237,30703.11,58.11,5,24,44.64,40,0.31,207,30,partial
Company 107,retail,69,56522.9,99.47,7,85,37.66,14,3.42,60,9,partial
Company 108,retail,424,164023.45,96.37,5,75,83.6,24,0.26,409,15,successful
Company 109,technology,265,54435.79,47.54,2,18,67.68,40,0.31,231,34,successful
Company 110,services,175,29382.57,64.91,4,54,59.16,23,4.43,146,29,partial
Company 111,manufacturing,21,40384.54,78.93,4,33,51.75,5,5.29,19,2,partial
Company 112,technology,250,70310.77,84.01,2,54,43.77,20,2.48,210,40,partial
Company 113,retail,92,44408.62,61.98,7,50,62.04,7,1.94,79,13,partial
Company 114,manufacturing,489,88277.68,84.78,7,27,20.59,21,2.29,424,65,partial
Company 115,technology,159,90969.09,47.45,5,58,23.82,37,3.35,120,39,failed
Company 116,services,247,121928.07,59.91,5,24,35.76,27,1.16,210,37,partial
Company 117,healthcare,28,186996.95,82.99,6,81,24.55,34,1.05,25,3,partial
Company 118,healthcare,82,132811.62,77.54,6,85,67.55,8,6.89,74,8,partial
Company 119,retail,119,28356.42,90.23,2,15,12.11,38,3.73,107,12,partial
Company 120,manufacturing,44,29061.58,42.81,5,65,23.62,22,1.28,32,12,failed
Company 121,manufacturing,368,56352.55,50.46,6,83,86.72,16,0.51,295,73,partial
Company 122,manufacturing,473,41733.51,42.91,6,12,94.79,33,3.64,413,60,partial
Company 123,technology,492,24084.86,51.53,5,66,51.45,9,5.73,398,94,partial
Company 124,retail,147,42051.34,40.26,7,84,52.11,26,3.77,113,34,failed
Company 125,technology,398,40961.57,70.25,5,21,75.74,22,3.81,380,18,successful
Company 126,manufacturing,261,34979.65,71.7,4,52,13.08,10,2.42,216,45,partial
Company 127,retail,42,46507.48,79.47,4,72,46.3,47,0.1,37,5,partial
Company 128,technology,63,153700.42,63.09,6,30,18.49,20,0.19,54,9,partial
Company 129,technology,282,70220.14,40.19,7,22,44.08,4,0.37,229,53,partial
Company 130,manufacturing,223,432547.43,80.43,3,36,93.62,23,0.86,222,1,successful
Company 131,technology,24,68624.61,43.26,3,30,74.06,48,4.36,19,5,failed
Company 132,services,466,47474.47,91.97,5,65,93.73,34,0.38,430,36,partial
Company 133,manufacturing,370,60072.43,41.36,6,34,73.41,32,0.23,299,71,partial
Company 134,retail,261,73511.24,71.83,4,34,61.69,45,0.8,243,18,partial
Company 135,manufacturing,493,84812.92,93.7,5,85,74.11,6,0.65,462,31,partial
Company 136,technology,486,315328.13,74.35,2,52,66.02,28,2.33,421,65,partial
Company 137,services,487,30447.03,76.51,3,83,49.45,18,0.16,404,83,partial
Company 138,manufacturing,144,119042.62,80.9,7,64,34.87,34,1.52,130,14,partial
Company 139,healthcare,442,70699.97,47.34,5,79,54.22,43,6.87,356,86,partial
Company 140,technology,262,17036.64,80.5,7,18,31.97,6,3.25,241,21,partial
Company 141,manufacturing,368,110919.39,92.82,3,84,51.37,10,9.79,322,46,partial
Company 142,manufacturing,432,165065.7,98.45,3,85,22.42,47,3.91,381,51,partial
Company 143,services,98,30159.61,66.58,7,4,58.06,26,0.98,88,10,partial
Company 144,manufacturing,235,59447.74,60.67,7,32,30.85,17,4.51,190,45,partial
Company 145,manufacturing,81,15058.78,85.2,7,37,34.96,10,4.89,71,10,partial
Company 146,retail,154,21871.83,72.57,3,38,52.42,19,3.17,129,25,partial
Company 147,retail,218,138472.03,55.44,6,70,23.81,3,4.51,175,43,partial
Company 148,manufacturing,430,41227.75,50.33,4,63,91.8,13,8.54,373,57,partial
Company 149,retail,434,24660.49,50.21,7,19,47.99,11,2.1,375,59,partial
Company 150,technology,207,71938.6,67.55,7,55,39.94,6,0.34,179,28,partial
Company 151,services,178,39421.63,50.21,4,87,12.48,48,1.51,135,43,failed
Company 152,services,274,41082.71,41.18,3,40,81.68,40,0.36,243,31,partial
Company 153,technology,457,108170.16,43.13,7,83,63.2,47,12.44,371,86,partial
Company 154,manufacturing,488,23638.06,95.79,4,58,45.39,14,0.36,462,26,partial
Company 155,technology,128,29019.05,44.38,4,83,30.87,16,0.82,104,24,partial
